Score,Cross_Claim_Score,Level,Card_A_Claiming,Title_A,Card_B_Negating,Title_B,Claim_Text,Negate_Text,Exclusion_Reason
0.687,0.776,4,CCC-2010,공로 (Meritum),TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,모든 공로의 근원은 성령의 자극과 하느님의 은총이다,"선한 행위가 오직 하느님의 선물일 뿐, 인간의 공로는 아니라는 명제",cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.687,0.746,3,CCC-2068,계명 준수로 구원,CCC-1261,세례 없이 죽은 유아의 구원 희망,십계명을 어기는 대죄를 짓고 회개하지 않으면 영원한 구원을 상실한다,세례받지 못한 유아에게는 어떠한 구원의 길도 존재할 수 없다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.687,0.736,2,ITC-LIMBO-2007,세례 없이 죽은 유아의 구원 희망 (림보 교리의 사실상 폐기),CCC-1250,유아 세례의 필요성 (원죄로부터의 해방),계시 안에 이 문제에 관한 명시적 가르침은 없다,유아는 원죄가 없으므로 세례가 불필요하다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.687,0.737,5,COUNCIL-NICAEA_CHALCEDON,초기 공의회 (삼위일체와 기독론),TRENT-S13-C01,화체설: 빵과 포도주의 실체 변환,성자 예수 그리스도는 피조물이 아니며 성부 하느님과 완전히 동일한 신적 본질을 지닌다.,그리스도가 성체 안에 힘(virtus)으로만 현존한다는 명제 (칼빈주의),cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.687,0.776,4,PAPAL-MUNIF-44,"Munificentissimus Deus 44~45항: 무류 정의 선언문과 ""신앙에서 완전히 떨어져 나갔음을 알라"" 경고",CCC-1257,세례의 필수성,이 정의를 고의로 부인하거나 의심하는 자는 가톨릭 신앙에서 완전히 떨어져 나간 것이다,성사는 구원에 불필요한 외적 의식일 뿐이다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.687,0.708,5,TRENT-S06-C03,성령의 선행 은총 없이 스스로 믿을 수 있다면 파문,TRENT-S07,성사 일반과 세례,의화 은총을 얻기 위한 신앙의 시작 자체가 성령의 선행 은총에 의존한다,성사는 단지 믿음을 북돋기 위한 외적 표징일 뿐 구원 은총을 수여하지 못한다.,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.687,0.76,5,TRENT-S06-C14,자신이 사함받았다고 믿기 때문에 참으로 의롭다면 파문,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,오직 이 믿음만으로 사죄와 의화가 이루어진다는 명제는 오류다,사제의 사죄가 단지 복음 선포/선언에 불과하다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.687,0.657,5,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,TRENT-S06-C09,오직 믿음(Sola Fide)으로 의롭다 하면 파문,의화된 자의 선한 행위는 하느님 앞에서 참된 공로(meritum)가 된다,오직 믿음만으로(sola fide) 의화된다는 명제,수작업 원문 대조 검증 (문헌 DB 중복/두 문헌의 동일 입장 확인)
0.687,0.741,5,TRENT-S07,성사 일반과 세례,TRENT-S06-C01,은총 없이 본성/율법의 행위로 의화된다 하면 파문,"세례, 견진, 신품 성사는 영혼에 지울 수 없는 인호를 남긴다.",인간이 은총 없이 자신의 선행만으로 하느님 앞에 의롭게 될 수 있다는 명제 (펠라기우스주의),cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.687,0.761,5,TRENT-S07-C01,7성사가 그리스도께서 친히 제정하신 것이 아니라면 파문,TRENT-S13-C01,화체설: 빵과 포도주의 실체 변환,"신약의 일곱 성사(세례, 견진, 성체, 고해, 병자성사, 신품, 혼인)는 모두 그리스도께서 직접 제정하셨다",그리스도가 성체 안에 힘(virtus)으로만 현존한다는 명제 (칼빈주의),cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.687,0.693,4,TRENT-S07-C05,세례가 구원에 필수 아니라 하면 파문,CCC-1257,세례의 필수성,세례는 선택 사항이 아니라 의무이다,세례는 구원을 위한 선택 사항일 뿐이다,수작업 원문 대조 검증 (문헌 DB 중복/두 문헌의 동일 입장 확인)
0.687,0.735,5,TRENT-S14,고해성사와 병자성사,TRENT-S13-C11,믿음만으로 성체를 합당하게 받기에 충분하다면 파문,구원을 위해서는 세례 후 지은 모든 대죄를 사제에게 구두로 은밀하게 고백하는 것이 신법으로 필수적이다.,믿음만 있으면 대죄 상태에서도 성체를 합당하게 받을 수 있다는 명제 (sola fide의 성체론적 적용),cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.687,0.749,5,TRENT-S14-C12,하느님이 항상 죄책과 함께 형벌 전체를 사하신다면 파문 (잠벌 교리의 근거),TRENT-S06-C29,세례 후 넘어진 자가 고해성사 없이 믿음만으로 회복된다면 파문,참회자의 보속(고해성사에서 부과되는 보속)은 그리스도의 대속을 믿는 믿음과 동일한 것이 아니라 실질적인 실천(단식·자선·기도 등)을 의미한다,세례 후 회복이 고해성사 없이 오직 믿음만으로 가능하다는 명제 (개신교적 재의화 개념),cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.687,0.705,5,TRENT-S25-INDULGENCES,대사 교령: 교회의 대사 수여권을 부정하면 파문,TRENT-S24-MARRIAGE,혼인 성사의 불가해소성,대사를 수여하는 권한은 그리스도께서 교회에 주신 것이다,교회가 혼인의 불가해소성을 가르치는 데 있어 오류를 범했다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.687,0.706,1,DH-02_03,Dignitatis Humanae 2~3항: 종교 자유의 근거 (Syllabus와 정면 대비),NOSTRA-AETATE,비그리스도교와 교회의 관계에 대한 선언,어떤 인간 권력도 내적 종교 행위를 명령하거나 금지할 수 없다,유대인이 하느님께 버림받았거나 저주받았다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.687,0.763,3,LG-16,Lumen Gentium 16항: 복음을 모르는 이들의 구원 가능성,CCC-1261,세례 없이 죽은 유아의 구원 희망,신적 섭리는 이런 사람들에게 구원에 필요한 도움을 거부하지 않는다,세례 없이 죽은 유아는 확실히 구원에서 배제된다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.687,0.786,3,LG-16,Lumen Gentium 16항: 복음을 모르는 이들의 구원 가능성,CCC-1471,면죄부 (Indulgentia),신적 섭리는 이런 사람들에게 구원에 필요한 도움을 거부하지 않는다,그리스도의 공로 외에 성인들의 공로의 보고는 존재하지 않는다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.687,0.691,2,NA-02,"Nostra Aetate 2항: 타 종교 안에 있는 ""참되고 거룩한 것""의 인정",TRENT-S14-C12,하느님이 항상 죄책과 함께 형벌 전체를 사하신다면 파문 (잠벌 교리의 근거),"그럼에도 교회는 그리스도를 ""길이요 진리요 생명""으로 선포할 의무를 갖는다 (선교 사명은 포기되지 않음)",보속이 그리스도의 속죄를 믿는 믿음과 동일하며 별도의 실천(고행 등)이 불필요하다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.686,0.712,3,CANON-C0749,무류성의 성립 조건,VAT1-PASTOR-AETERNUS,교황 무류성 선언 (Ex Cathedra),"주교단 무류성은 공의회 결집 시, 또는 전 세계에 흩어져 있으면서도 교황과 결합한 일치된 견지가 있을 때 발동한다.",교황의 정의가 교회의 동의(consensus)를 통해서만 개혁 불가능하다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.686,0.786,4,CCC-0847,교회 밖 구원 가능성,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,양심의 명령에 따라 하느님의 뜻을 실천하려는 노력이 필요하다,"선한 행위가 오직 하느님의 선물일 뿐, 인간의 공로는 아니라는 명제",cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.686,0.712,3,CCC-1861,대죄와 은총 상실,CCC-1257,세례의 필수성,회개하지 않은 대죄는 영원한 지옥의 벌을 가져온다,세례는 구원을 위한 선택 사항일 뿐이다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.686,0.821,2,CCC-1861,대죄와 은총 상실,ITC-LIMBO-2007,세례 없이 죽은 유아의 구원 희망 (림보 교리의 사실상 폐기),대죄는 하느님과의 관계를 단절시킨다,림보가 교회의 확정된 교의라는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.686,0.728,4,CDF-DOMINUS-20_22,Dominus Iesus 20~22항: 비그리스도인의 구원과 교회의 필요성 (다원주의 배척),TRENT-S07-C04,성사가 구원에 불필요하며 믿음만으로 은총을 얻는다면 파문,"교회를 타 종교와 나란한, 보완적이거나 실질적으로 동등한 구원의 길로 여기는 것은 신앙에 어긋난다",성사도 성사에 대한 열망도 없이 오직 믿음만으로 의화 은총을 얻을 수 있다는 명제 (Sola Fide의 성사론적 적용),cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.686,0.708,4,CDF-DOMINUS-20_22,Dominus Iesus 20~22항: 비그리스도인의 구원과 교회의 필요성 (다원주의 배척),TRENT-S06-C12,의화시키는 믿음이 단지 자비에 대한 확신일 뿐이라면 파문,타 종교의 기도·의식은 신적 기원이나 사효적 구원 효력을 지닐 수 없다,그 확신 하나만으로 의화가 이루어진다는 명제 (종교개혁적 신앙 개념 비판),cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.686,0.719,2,FIDUCIA-SUPPLICANS,동성 커플 축복 허용,CCC-1257,세례의 필수성,하느님의 자비와 은총은 도덕적 완전함의 전제 조건 없이도 간구될 수 있다,성사는 구원에 불필요한 외적 의식일 뿐이다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.686,0.864,2,PAPAL-FRATELLI-263_270,"Fratelli Tutti 263~270항: 사형제는 ""용납 불가""(inadmissible) — 상세 논증",TRENT-S06-C30,의화 후 잠벌이 전혀 남지 않는다면 파문 (연옥 신학의 토대),아무리 흉악한 살인자라도 인격적 존엄을 잃지 않는다,사죄받으면 어떤 형벌의 빚도 전혀 남지 않는다는 명제 (연옥 부정의 근거가 되는 주장),cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.686,0.701,5,TRENT-S07-C05,세례가 구원에 필수 아니라 하면 파문,TRENT-S06-C02,은총이 단지 쉽게 살도록 돕는 것뿐이라면 파문,세례 없이는 구원에 이를 수 없다 (통상적 수단으로서),은총이 없어도 인간이 본성적으로 구원에 이를 능력을 가지고 있다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.686,0.706,5,TRENT-S07-C08,성사가 사효적(ex opere operato)으로 은총을 주지 않는다면 파문,TRENT-S06-C01,은총 없이 본성/율법의 행위로 의화된다 하면 파문,하느님의 약속에 대한 믿음만으로는(성사 없이는) 은총을 얻기에 충분하지 않다,인간이 은총 없이 자신의 선행만으로 하느님 앞에 의롭게 될 수 있다는 명제 (펠라기우스주의),cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.686,0.932,4,TRENT-S13-C01,화체설: 빵과 포도주의 실체 변환,CCC-1376,화체설 (Transsubstantiatio),"축성(consecration) 후 빵의 실체는 그리스도의 몸의 실체로, 포도주의 실체는 그리스도의 피의 실체로 변환된다 (화체설, Transubstantiatio)",그리스도의 현존은 영적/비유적 의미일 뿐이다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.686,0.831,4,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,CCC-1452,완전한 통회 (Contritio Perfecta),세례 후 대죄의 사함을 위해 사제 앞 고백은 하느님의 법에 의해 필수이다,대죄의 용서에는 반드시 사제의 사죄가 선행해야 한다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.686,0.707,4,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,CCC-1376,화체설 (Transsubstantiatio),고해성사는 그리스도에 의해 제정되었다,빵과 포도주의 실체와 그리스도의 실체가 공존한다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.686,0.691,3,TRENT-S24,혼인성사,CANON-C1055,혼인의 자동적 성사성과 불가해소성,합법적으로 성립된 성사적 혼인은 배우자 중 한 명이 죽기 전까지 어떤 이유(간음 포함)로도 절대 해소될 수 없다.,"배우자의 중대한 사유(간음, 학대 등)가 있으면 완결된 성사혼도 교회 권위로 해소될 수 있다.",cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.686,0.711,2,TRENT-S24-MARRIAGE,혼인 성사의 불가해소성,ITC-LIMBO-2007,세례 없이 죽은 유아의 구원 희망 (림보 교리의 사실상 폐기),혼인은 그리스도에 의해 제정된 일곱 성사 중 하나이다,세례 없이 죽은 유아는 반드시 림보에 머문다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.686,0.717,4,VAT1-PASTOR-AETERNUS,교황 무류성 선언 (Ex Cathedra),LG-08,"Lumen Gentium 8항: ""Subsistit in"" — 그리스도 교회와 가톨릭교회의 관계",교황의 교의적 정의(definitiones)는 교회의 동의(consensus Ecclesiae)에 의해서가 아니라 그 자체로(ex sese) 개혁 불가능하다,가톨릭 교회 밖에는 성화와 진리의 요소가 전혀 존재하지 않는다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.686,0.704,2,DH-02_03,Dignitatis Humanae 2~3항: 종교 자유의 근거 (Syllabus와 정면 대비),TRENT-S06-C17,은총이 예정된 자에게만 주어지고 나머지는 악으로 예정되었다면 파문,이 권리의 근거는 신념의 참·거짓 여부가 아니라 **인간 위격 자체의 존엄성**이다,부르심을 받고 은총을 받지 못하는 것이 하느님의 적극적 저주 예정 때문이라는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.686,0.687,2,DIGNITATIS-HUMANAE,종교 자유에 관한 선언,DENZINGER-SYLLABUS-15_18,Syllabus Errorum 명제 15~18: 무관심주의·종교 자유 단죄 (DH와 정면 대비),이 권리는 인간 존엄성 자체에 기초한다 (자연법),개인이 이성에 따라 판단한 종교를 자유로이 신봉할 권리 (근대적 종교 자유 개념 자체),cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.686,0.722,1,DIGNITATIS-HUMANAE,종교 자유에 관한 선언,NOSTRA-AETATE,비그리스도교와 교회의 관계에 대한 선언,아무도 자기 양심에 따라 종교를 실천하는 것이 방해받아서는 안 된다,종교를 이유로 한 차별이나 박해가 정당화될 수 있다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.686,0.696,2,GS-16,"Gaudium et Spes 16항: 양심 — ""인간의 가장 은밀한 핵심이자 지성소""",TRENT-S06-C03,성령의 선행 은총 없이 스스로 믿을 수 있다면 파문,"양심은 인간의 ""가장 은밀한 핵심이자 지성소""이며, 그곳에서 인간은 홀로 하느님과 함께 있다","인간이 성령의 도움 없이 스스로 믿음, 소망, 사랑, 회개를 낼 수 있다는 명제 (펠라기우스주의)",cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.686,0.694,4,LG-14,"Lumen Gentium 14항: 교회의 구원 필요성과 ""알면서 거부하면 구원 불가""",TRENT-S07-C01,7성사가 그리스도께서 친히 제정하신 것이 아니라면 파문,"그리스도는 유일한 중개자이자 구원의 유일한 길이며, 교회를 통해 우리에게 현존한다",성사 중 일부가 교회의 인간적 제도일 뿐 그리스도의 제정이 아니라는 명제 (개신교 2성사설 등),cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.686,0.702,2,NOSTRA-AETATE,비그리스도교와 교회의 관계에 대한 선언,CCC-2068,계명 준수로 구원,유대인은 하느님께 버림받았거나 저주받은 것으로 표현되어서는 안 된다,한 번 구원받은 신자는 죄를 지어도 구원을 잃지 않는다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.685,0.725,3,CANON-GEN,"교회법 일반 (적용 대상, 이단, 배교)",CDF-DOMINUS-16_17,"Dominus Iesus 16~17항: 비가톨릭 그리스도교 공동체는 ""본래 의미의 교회가 아니다""",교회법의 법적 구속력은 가톨릭 교회에서 세례를 받았거나 교회로 회심한 이들에게만 적용된다(이성 사용 능력이 있는 자).,"사도 계승과 유효한 성체성사가 없는 그리스도교 공동체도 가톨릭·정교회와 동등한 의미에서 ""교회""라는 명제",cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.685,0.691,2,CCC-0402,원죄의 보편적 전달,ITC-LIMBO-2007,세례 없이 죽은 유아의 구원 희망 (림보 교리의 사실상 폐기),원죄로 인해 인간 본성은 타락한 상태에 놓여 있다,세례 없이 죽은 유아의 구원을 희망하는 것이 교리에 어긋난다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.685,0.704,3,CCC-1261,세례 없이 죽은 유아의 구원 희망,CCC-2068,계명 준수로 구원,교회는 세례 없이 죽은 아이들을 하느님의 자비에 맡긴다,한 번 구원받은 신자는 죄를 지어도 구원을 잃지 않는다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.685,0.742,4,CCC-1452,완전한 통회 (Contritio Perfecta),TRENT-S06-C17,은총이 예정된 자에게만 주어지고 나머지는 악으로 예정되었다면 파문,완전한 통회는 소죄의 용서를 가져온다,부르심을 받고 은총을 받지 못하는 것이 하느님의 적극적 저주 예정 때문이라는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.685,0.764,4,CCC-1452,완전한 통회 (Contritio Perfecta),TRENT-S13-C11,믿음만으로 성체를 합당하게 받기에 충분하다면 파문,고해성사를 받겠다는 결심과 함께라면 완전한 통회로 대죄도 용서된다,믿음만 있으면 대죄 상태에서도 성체를 합당하게 받을 수 있다는 명제 (sola fide의 성체론적 적용),cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.685,0.813,3,CCC-1861,대죄와 은총 상실,CCC-0402,원죄의 보편적 전달,회개하지 않은 대죄는 영원한 지옥의 벌을 가져온다,원죄는 아담 개인에게만 한정된다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.685,0.715,3,CCC-1996,은총은 무상의 선물,CCC-0402,원죄의 보편적 전달,은총은 하느님의 생명에 참여하도록 부르는 것이다,원죄는 아담 개인에게만 한정된다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.685,0.877,4,CCC-2068,계명 준수로 구원,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,의화된 후에도 하느님의 계명을 지켜야 한다,"선한 행위가 오직 하느님의 선물일 뿐, 인간의 공로는 아니라는 명제",cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.685,0.777,4,CCC-456_478,강생과 그리스도의 구원 사역,CCC-161_165,믿음과 구원,그리스도의 강생(육화)은 인류의 구원과 죄 사함을 위해 필수적인 사건이다.,한 번 얻은 믿음과 구원은 상실될 수 없다(한 번 구원은 영원한 구원).,수작업 원문 대조 검증 (문헌 DB 중복/두 문헌의 동일 입장 확인)
0.685,0.73,3,DENZINGER-FEENEY-VOTUM,"1949년 Feeney 서한: ""열망(votum)""의 정확한 신학적 조건",TRENT-S07,성사 일반과 세례,초자연적 신앙(하느님의 존재와 상급을 믿는 신앙) 없이는 암묵적 열망도 아무 효력이 없다,성사는 단지 믿음을 북돋기 위한 외적 표징일 뿐 구원 은총을 수여하지 못한다.,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.685,0.842,4,PAPAL-INEFF,Ineffabilis Deus (원죄 없이 잉태되신 동정 마리아),CCC-0491,마리아 무염시태,성모 마리아는 잉태되는 순간부터 하느님의 특별한 은총으로 원죄에 물들지 않고 보존되었다.,마리아도 다른 모든 인간처럼 원죄를 가지고 잉태되었다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.685,0.74,4,PAPAL-MUNIF-44,"Munificentissimus Deus 44~45항: 무류 정의 선언문과 ""신앙에서 완전히 떨어져 나갔음을 알라"" 경고",CCC-1452,완전한 통회 (Contritio Perfecta),이 정의를 고의로 부인하거나 의심하는 자는 가톨릭 신앙에서 완전히 떨어져 나간 것이다,대죄의 용서에는 반드시 사제의 사죄가 선행해야 한다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.685,0.726,5,UNAM-SANCTAM,교황 복종이 구원에 절대 필요,VAT1-PASTOR-AETERNUS,교황 무류성 선언 (Ex Cathedra),로마 교황에 대한 복종(subesse)이 모든 인간 피조물에게 구원을 위해 절대적으로 필요하다,"교황의 정의가 공의회의 동의를 필요로 한다는 명제 (공의회 우위론, Conciliarism)",cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.685,0.701,5,TRENT-S06,칭의(의화) 교령,TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,칭의는 단지 하느님이 죄를 덮어주시는 것이 아니라 인간 본성이 내적으로 쇄신되는 것이다.,"선한 행위가 오직 하느님의 선물일 뿐, 인간의 공로는 아니라는 명제",cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.685,0.697,5,TRENT-S06-C04,자유의지가 은총에 전혀 협력하지 않고 순전히 수동적이라면 파문,TRENT-S06-C11,그리스도 의(義)의 전가만으로 의롭다면 파문 (법정적 칭의론 단죄),의화 준비는 하느님의 은총과 인간 의지의 협력이 함께 작동하는 과정이다,은총이 단지 죄를 덮는 하느님의 호의일 뿐 내적 변화가 아니라는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.685,0.718,2,TRENT-S06-C14,자신이 사함받았다고 믿기 때문에 참으로 의롭다면 파문,DH-02_03,Dignitatis Humanae 2~3항: 종교 자유의 근거 (Syllabus와 정면 대비),오직 이 믿음만으로 사죄와 의화가 이루어진다는 명제는 오류다,"오류에는 권리가 없으므로(""Error has no rights"") 국가가 이단·비가톨릭 신앙을 강제로 억압할 권한이 있다는 명제",cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.685,0.695,4,TRENT-S06-C29,세례 후 넘어진 자가 고해성사 없이 믿음만으로 회복된다면 파문,DENZINGER-SYLLABUS-15_18,Syllabus Errorum 명제 15~18: 무관심주의·종교 자유 단죄 (DH와 정면 대비),그러나 잃어버린 의(義)의 회복은 오직 믿음만으로가 아니라 고해성사를 통해 이루어져야 한다,"가톨릭 교회 밖에 있는 이들의 구원에 대한 ""선한 희망""조차 정당화될 수 없다는 강경한 입장",cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.685,0.705,5,TRENT-S13-C02,화체설을 부정하고 빵의 실체가 남아있다면 파문 (공재설 단죄),TRENT-S06-C11,그리스도 의(義)의 전가만으로 의롭다면 파문 (법정적 칭의론 단죄),포도주의 실체 전체가 그리스도 피의 실체로 변화한다,은총이 단지 죄를 덮는 하느님의 호의일 뿐 내적 변화가 아니라는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.685,0.74,5,TRENT-S14-C12,하느님이 항상 죄책과 함께 형벌 전체를 사하신다면 파문 (잠벌 교리의 근거),TRENT-S06-C11,그리스도 의(義)의 전가만으로 의롭다면 파문 (법정적 칭의론 단죄),참회자의 보속(고해성사에서 부과되는 보속)은 그리스도의 대속을 믿는 믿음과 동일한 것이 아니라 실질적인 실천(단식·자선·기도 등)을 의미한다,은총이 단지 죄를 덮는 하느님의 호의일 뿐 내적 변화가 아니라는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.685,0.839,5,TRENT-S22-C01,미사는 참된 속죄 제사,TRENT-S22-C03,미사가 속죄 제사가 아니라 단순한 찬미/기념일 뿐이라면 파문,미사는 십자가 희생의 재현(re-presentation)이자 속죄 제사이다,"**신학적 긴장**: 그리스도의 십자가 희생이 유일회적(단번에, ephapax — 히브리서 9:26-28)이라는 성경 강조와, 미사가 ""속죄 제사""로 반복 봉헌된다는 트렌트 교리 사이의 긴장. 트렌트는 이를 ""동일한 제물의 무혈적 재현""(같은 희생, 봉헌 방식만 다름)으로 구분함",cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.685,0.706,4,TRENT-S24-C09,서품·정결서원자가 유효하게 혼인할 수 있다면 파문 (성직자 독신제 근거),CCC-1471,면죄부 (Indulgentia),신품을 받은 성직자와 정결을 엄숙히 서원한 수도자는 유효하게 혼인을 계약할 수 없다,교회는 시간적 벌을 감면할 권한이 없다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.685,0.687,4,TRENT-S24-C09,서품·정결서원자가 유효하게 혼인할 수 있다면 파문 (성직자 독신제 근거),CCC-2357,동성애 (Homosexualitas),하느님은 정결을 서원한 이들이 바르게 구하면 그 은사를 거절하지 않으신다는 신학적 전제가 캐논 안에 명시되어 있다,성경은 동성애에 대해 침묵한다,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.685,0.715,2,DH-02_03,Dignitatis Humanae 2~3항: 종교 자유의 근거 (Syllabus와 정면 대비),DENZINGER-SYLLABUS-15_18,Syllabus Errorum 명제 15~18: 무관심주의·종교 자유 단죄 (DH와 정면 대비),"인간은 자기 양심에 반하여 행동하도록 강요받아서는 안 되며, 양심에 따른 종교 행위를 방해받아서도 안 된다",개인이 이성에 따라 판단한 종교를 자유로이 신봉할 권리 (근대적 종교 자유 개념 자체),cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.685,0.787,4,LG-08,"Lumen Gentium 8항: ""Subsistit in"" — 그리스도 교회와 가톨릭교회의 관계",COUNCIL-LATERAN_IV,교회 밖 구원 없음과 화체설,"그리스도가 세우신 유일한 교회는 로마 교황과 그와 친교하는 주교들이 다스리는 가톨릭 교회 ""안에 존속한다""(subsistit in)",가톨릭 교회에 속하지 않은 타 종파 신자나 이교도도 구원받을 수 있다.,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.685,0.692,4,LG-12,Lumen Gentium 12항: 신자 전체의 신앙 무오류성 (Sensus Fidei),TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,주교부터 평신도까지 온 신자 전체(하느님의 백성)는 신앙 문제에서 오류를 범할 수 없다(in credendo falli nequit),고해성사가 하느님의 법에 의해 제정된 것이 아니라는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
0.685,0.723,3,LG-12,Lumen Gentium 12항: 신자 전체의 신앙 무오류성 (Sensus Fidei),LG-16,Lumen Gentium 16항: 복음을 모르는 이들의 구원 가능성,주교부터 평신도까지 온 신자 전체(하느님의 백성)는 신앙 문제에서 오류를 범할 수 없다(in credendo falli nequit),복음을 모르는 이들에게 하느님이 구원의 기회를 주지 않는다는 명제,cross-claim 자동 필터 (B 자신의 claims와 유사도가 negate 매칭 점수 이상)
