Score,Level,Card_A_Claiming,Title_A,Card_B_Negating,Title_B,Claim_Text,Negate_Text,LLM_Decision,LLM_Reason,LLM_Decision,LLM_Reason
0.723,5,PAPAL-MUNIF-44,"Munificentissimus Deus 44~45항: 무류 정의 선언문과 ""신앙에서 완전히 떨어져 나갔음을 알라"" 경고",TRENT-S24-C09,서품·정결서원자가 유효하게 혼인할 수 있다면 파문 (성직자 독신제 근거),이 정의를 고의로 부인하거나 의심하는 자는 가톨릭 신앙에서 완전히 떨어져 나간 것이다,서품자·서원 수도자의 혼인이 교회법·서원에도 불구하고 유효하다는 명제,NO,A(성모몽소승천 교의 부인 시 신앙 이탈)와 B(서품자·서원자 혼인 유효성 단죄)는 전혀 다른 교리 영역으로 무관하다.,NO,A(성모몽소승천 교의 부인 시 신앙 이탈)와 B(서품자·서원자 혼인 유효성 단죄)는 전혀 다른 교리 영역으로 무관하다.
0.723,5,TRENT-S06-C04,자유의지가 은총에 전혀 협력하지 않고 순전히 수동적이라면 파문,TRENT-S06-C01,은총 없이 본성/율법의 행위로 의화된다 하면 파문,하느님이 자극하실 때 인간의 자유의지는 그 은총에 협력(co-operate)한다,인간이 은총 없이 자신의 선행만으로 하느님 앞에 의롭게 될 수 있다는 명제 (펠라기우스주의),NO,"A는 '자유의지가 은총에 협력한다'는 명제를 주장하는데, 이는 B가 단죄하는 '은총 없이 선행만으로 의화된다(펠라기우스주의)'는 명제와 반대되는 입장이다. 두 문서는 펠라기우스주의를 함께 배격하는 같은 편이므로 충돌이 아니다.",NO,"A는 '자유의지가 은총에 협력한다'는 명제를 주장하는데, 이는 B가 단죄하는 '은총 없이 선행만으로 의화된다(펠라기우스주의)'는 명제와 반대되는 입장이다. 두 문서는 펠라기우스주의를 함께 배격하는 같은 편이므로 충돌이 아니다."
0.723,5,TRENT-S06-C09,오직 믿음(Sola Fide)으로 의롭다 하면 파문,TRENT-S06-C04,자유의지가 은총에 전혀 협력하지 않고 순전히 수동적이라면 파문,이 교리를 부정하는 자는 파문(anathema)된다,자유의지가 은총에 대해 아무 협력도 하지 않고 순전히 수동적(무생물처럼)이라는 명제 (은총 단독설의 극단적 해석),NO,A(교령 9조: 오직 믿음만으로 의화된다는 명제 단죄)와 B(교령 4조: 자유의지가 순전히 수동적이라는 명제 단죄)는 서로 관련된 주제이지만 사실상 동일한 명제가 아니라 각기 다른 이단(솔라피데 대 은총단독 수동설)을 겨냥한다.,NO,A(교령 9조: 오직 믿음만으로 의화된다는 명제 단죄)와 B(교령 4조: 자유의지가 순전히 수동적이라는 명제 단죄)는 서로 관련된 주제이지만 사실상 동일한 명제가 아니라 각기 다른 이단(솔라피데 대 은총단독 수동설)을 겨냥한다.
0.723,5,TRENT-S06-C12,의화시키는 믿음이 단지 자비에 대한 확신일 뿐이라면 파문,TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,그러한 확신만으로 의화된다는 명제는 오류이다,모든 대죄를 낱낱이 고백할 신법적 의무가 없다는 명제,NO,"A는 '확신만으로 의화된다'는 명제의 오류를 다루고, B는 '모든 대죄를 낱낱이 고백할 의무가 없다'는 명제를 단죄한다. 의화 확신론과 고해의무론은 서로 다른 명제이다.",NO,"A는 '확신만으로 의화된다'는 명제의 오류를 다루고, B는 '모든 대죄를 낱낱이 고백할 의무가 없다'는 명제를 단죄한다. 의화 확신론과 고해의무론은 서로 다른 명제이다."
0.723,4,TRENT-S06-C29,세례 후 넘어진 자가 고해성사 없이 믿음만으로 회복된다면 파문,CCC-1257,세례의 필수성,그러나 잃어버린 의(義)의 회복은 오직 믿음만으로가 아니라 고해성사를 통해 이루어져야 한다,성사는 구원에 불필요한 외적 의식일 뿐이다,NO,"A는 '잃어버린 의의 회복에는 고해성사가 필요하다(믿음만으로는 불충분)'고 주장하는데, 이는 B가 단죄하는 '성사는 구원에 불필요하다'는 명제와 정반대다. 두 문서는 성사의 필요성을 함께 긍정하는 같은 편이므로 충돌이 아니다.",NO,"A는 '잃어버린 의의 회복에는 고해성사가 필요하다(믿음만으로는 불충분)'고 주장하는데, 이는 B가 단죄하는 '성사는 구원에 불필요하다'는 명제와 정반대다. 두 문서는 성사의 필요성을 함께 긍정하는 같은 편이므로 충돌이 아니다."
0.723,4,TRENT-S06-C29,세례 후 넘어진 자가 고해성사 없이 믿음만으로 회복된다면 파문,DENZINGER-SYLLABUS-15_18,Syllabus Errorum 명제 15~18: 무관심주의·종교 자유 단죄 (DH와 정면 대비),고해성사는 세례 후 재의화(회복)의 신법적 통상 수단이다,비가톨릭 종교·교단에서도 구원받을 수 있다는 명제,NO,"A는 고해성사가 세례 후 회복의 통상 수단이라는 성사론 주장이고, B는 비가톨릭 교단에서도 구원 가능하다는 종교다원주의 명제를 단죄한 것이다. 서로 다른 주제로 명제가 겹치지 않는다.",NO,"A는 고해성사가 세례 후 회복의 통상 수단이라는 성사론 주장이고, B는 비가톨릭 교단에서도 구원 가능하다는 종교다원주의 명제를 단죄한 것이다. 서로 다른 주제로 명제가 겹치지 않는다."
0.723,5,TRENT-S07-C05,세례가 구원에 필수 아니라 하면 파문,TRENT-S06-C04,자유의지가 은총에 전혀 협력하지 않고 순전히 수동적이라면 파문,이 교리를 부정하는 자는 파문(anathema)된다,자유의지가 은총에 대해 아무 협력도 하지 않고 순전히 수동적(무생물처럼)이라는 명제 (은총 단독설의 극단적 해석),NO,"A는 특정 성사 관련 교리를 부정하면 파문된다는 일반적 파문 조항이고, B는 자유의지가 은총에 순전히 수동적이라는 별개의 명제(자유의지론)를 단죄한 것으로 내용이 다르다.",NO,"A는 특정 성사 관련 교리를 부정하면 파문된다는 일반적 파문 조항이고, B는 자유의지가 은총에 순전히 수동적이라는 별개의 명제(자유의지론)를 단죄한 것으로 내용이 다르다."
0.723,4,TRENT-S13-C01,화체설: 빵과 포도주의 실체 변환,LG-62,Lumen Gentium 62항: 마리아의 칭호 — 중개자(Mediatrix)·보호자(Advocate) (그리스도의 유일한 중개직에 종속),"성체 성사 안에 그리스도의 몸과 피가 참으로(vere), 실재적으로(realiter), 실체적으로(substantialiter) 현존한다","마리아가 그리스도와 별개의, 또는 동등한 구원의 중개자라는 명제",NO,"A는 성체 안의 그리스도 실재현존 교리이고, B는 마리아를 그리스도와 별개·동등한 구원 중개자로 보는 명제를 단죄한 것으로 주제가 전혀 다르다.",NO,"A는 성체 안의 그리스도 실재현존 교리이고, B는 마리아를 그리스도와 별개·동등한 구원 중개자로 보는 명제를 단죄한 것으로 주제가 전혀 다르다."
0.723,5,TRENT-S13-C06,성체를 흠숭(latria)으로 경배하지 않으면 파문,TRENT-S25-INDULGENCES,대사 교령: 교회의 대사 수여권을 부정하면 파문,성체를 경배하는 것은 우상숭배가 아니다,교회에 대사를 수여할 권한이 없다는 명제 (루터의 95개조 논제의 핵심 주장 중 하나),NO,"A는 성체 경배가 우상숭배가 아니라는 주장이고, B는 교회의 대사 수여권을 부정하는 루터파 명제를 단죄한 것으로 서로 무관한 주제다.",NO,"A는 성체 경배가 우상숭배가 아니라는 주장이고, B는 교회의 대사 수여권을 부정하는 루터파 명제를 단죄한 것으로 서로 무관한 주제다."
0.723,5,TRENT-S14-C12,하느님이 항상 죄책과 함께 형벌 전체를 사하신다면 파문 (잠벌 교리의 근거),TRENT-S13-C01,화체설: 빵과 포도주의 실체 변환,참회자의 보속(고해성사에서 부과되는 보속)은 그리스도의 대속을 믿는 믿음과 동일한 것이 아니라 실질적인 실천(단식·자선·기도 등)을 의미한다,그리스도가 성체 안에 힘(virtus)으로만 현존한다는 명제 (칼빈주의),NO,"A는 고해성사의 보속이 실천적 행위임을 규정한 것이고, B는 성체 안 그리스도 현존을 힘(virtus)으로만 국한하는 칼빈주의 명제를 단죄한 것으로 주제가 다르다.",NO,"A는 고해성사의 보속이 실천적 행위임을 규정한 것이고, B는 성체 안 그리스도 현존을 힘(virtus)으로만 국한하는 칼빈주의 명제를 단죄한 것으로 주제가 다르다."
0.723,5,TRENT-S24-C09,서품·정결서원자가 유효하게 혼인할 수 있다면 파문 (성직자 독신제 근거),UNAM-SANCTAM,교황 복종이 구원에 절대 필요,하느님은 정결을 서원한 이들이 바르게 구하면 그 은사를 거절하지 않으신다는 신학적 전제가 캐논 안에 명시되어 있다,교황에 대한 복종 없이도 구원받을 수 있다는 명제,NO,"A는 정결 서원자에 대한 은사 허락이라는 신학적 전제이고, B는 교황 복종 없이 구원 가능하다는 명제를 단죄한 것으로 전혀 다른 주제다.",NO,"A는 정결 서원자에 대한 은사 허락이라는 신학적 전제이고, B는 교황 복종 없이 구원 가능하다는 명제를 단죄한 것으로 전혀 다른 주제다."
0.723,5,TRENT-S24-C09,서품·정결서원자가 유효하게 혼인할 수 있다면 파문 (성직자 독신제 근거),TRENT-S07-C08,성사가 사효적(ex opere operato)으로 은총을 주지 않는다면 파문,하느님은 정결을 서원한 이들이 바르게 구하면 그 은사를 거절하지 않으신다는 신학적 전제가 캐논 안에 명시되어 있다,하느님의 약속에 대한 믿음만 있으면 성사 없이도 은총을 얻는다는 명제,NO,"A는 정결의 은사에 관한 전제이고, B는 성사 없이 믿음만으로 은총을 얻는다는 명제를 단죄한 것으로 서로 다른 주제를 다룬다.",NO,"A는 정결의 은사에 관한 전제이고, B는 성사 없이 믿음만으로 은총을 얻는다는 명제를 단죄한 것으로 서로 다른 주제를 다룬다."
0.723,2,DH-02_03,Dignitatis Humanae 2~3항: 종교 자유의 근거 (Syllabus와 정면 대비),CCC-1452,완전한 통회 (Contritio Perfecta),어떤 인간 권력도 내적 종교 행위를 명령하거나 금지할 수 없다,내적 통회만으로는 어떤 죄도 용서될 수 없다,NO,"A는 인간 권력이 내적 신앙행위를 명령·금지할 수 없다는 종교자유 선언이고, B는 내적 통회만으로 죄가 용서될 수 없다는 명제(완전통회 신학)를 다루므로 주제가 겹치지 않는다.",NO,"A는 인간 권력이 내적 신앙행위를 명령·금지할 수 없다는 종교자유 선언이고, B는 내적 통회만으로 죄가 용서될 수 없다는 명제(완전통회 신학)를 다루므로 주제가 겹치지 않는다."
0.723,2,DH-02_03,Dignitatis Humanae 2~3항: 종교 자유의 근거 (Syllabus와 정면 대비),TRENT-S06-C17,은총이 예정된 자에게만 주어지고 나머지는 악으로 예정되었다면 파문,어떤 인간 권력도 내적 종교 행위를 명령하거나 금지할 수 없다,부르심을 받고 은총을 받지 못하는 것이 하느님의 적극적 저주 예정 때문이라는 명제,NO,"A는 내적 종교행위에 대한 인간 권력의 무권한을 말하고, B는 이중예정(적극적 저주예정)을 단죄한 것으로 서로 다른 신학 영역이다.",NO,"A는 내적 종교행위에 대한 인간 권력의 무권한을 말하고, B는 이중예정(적극적 저주예정)을 단죄한 것으로 서로 다른 신학 영역이다."
0.723,3,LG-12,Lumen Gentium 12항: 신자 전체의 신앙 무오류성 (Sensus Fidei),CCC-1213_1284,세례 성사의 은총,신자 전체는 진리의 성령에 의해 이 식별력을 일깨우고 유지 받는다,세례를 받은 후에도 원죄가 그대로 남아 있다(형식적인 덮음만 있다).,NO,"A는 신자 전체의 신앙 식별력(센수스 피데이)에 관한 것이고, B는 세례 후에도 원죄가 형식적으로만 덮여 남아있다는 명제를 단죄한 것으로 주제가 다르다.",NO,"A는 신자 전체의 신앙 식별력(센수스 피데이)에 관한 것이고, B는 세례 후에도 원죄가 형식적으로만 덮여 남아있다는 명제를 단죄한 것으로 주제가 다르다."
0.723,3,LG-62,Lumen Gentium 62항: 마리아의 칭호 — 중개자(Mediatrix)·보호자(Advocate) (그리스도의 유일한 중개직에 종속),CCC-1987_2016,"칭의(의화)와 은총, 그리고 공로",어떤 피조물도 성육신하신 말씀이자 구속주이신 그리스도와 동등하게 여겨질 수 없다,그리스도인의 선행은 영생을 얻기 위한 어떠한 공로도 되지 못한다.,NO,"A는 피조물이 그리스도와 동등할 수 없다는 그리스도론적 주장이고, B가 단죄하는 명제는 선행의 공로성 부정(구원론)에 관한 것으로 주제와 대상이 전혀 다르다.",NO,"A는 피조물이 그리스도와 동등할 수 없다는 그리스도론적 주장이고, B가 단죄하는 명제는 선행의 공로성 부정(구원론)에 관한 것으로 주제와 대상이 전혀 다르다."
0.723,2,NOSTRA-AETATE,비그리스도교와 교회의 관계에 대한 선언,LG-08,"Lumen Gentium 8항: ""Subsistit in"" — 그리스도 교회와 가톨릭교회의 관계",교회는 다른 종교들 안에서 발견되는 참되고 거룩한 것을 거부하지 않는다,가톨릭 교회 밖에는 성화와 진리의 요소가 전혀 존재하지 않는다는 명제,NO,A(교회 밖 참됨·거룩함 인정)와 B가 단죄하는 명제(교회 밖에 성화·진리 요소가 전혀 없다는 주장)는 같은 것을 함께 배격하는 동일 입장이므로 상충이 아니다.,NO,A(교회 밖 참됨·거룩함 인정)와 B가 단죄하는 명제(교회 밖에 성화·진리 요소가 전혀 없다는 주장)는 같은 것을 함께 배격하는 동일 입장이므로 상충이 아니다.
0.722,,CCC-456_478,강생과 그리스도의 구원 사역,COUNCIL-CONST_III,호노리우스 1세 교황 정죄,예수 그리스도는 신성과 인성을 모두 온전히 지닌 유일한 구원 중개자이다.,예수 그리스도 안에는 오직 한 가지 의지(단의론)만이 존재한다.,NO,"A의 주장(신성-인성 온전성, 즉 두 의지)이 B의 단죄 대상(단의론)과 정면 반대이므로, 둘은 같은 입장을 배격하는 같은 편이다.",NO,"A의 주장(신성-인성 온전성, 즉 두 의지)이 B의 단죄 대상(단의론)과 정면 반대이므로, 둘은 같은 입장을 배격하는 같은 편이다."
0.722,,CCC-0402,원죄의 보편적 전달,DIGNITATIS-HUMANAE,종교 자유에 관한 선언,원죄로 인해 인간 본성은 타락한 상태에 놓여 있다,이단자들에게는 종교 자유의 권리가 없다는 명제,NO,"A는 원죄와 인간 본성을 다루고, B가 단죄하는 명제는 이단자들의 종교 자유권에 관한 것으로, 완전히 다른 주제이다.",NO,"A는 원죄와 인간 본성을 다루고, B가 단죄하는 명제는 이단자들의 종교 자유권에 관한 것으로, 완전히 다른 주제이다."
0.722,,CCC-1471,면죄부 (Indulgentia),AMORIS-LAETITIA-CH8,재혼자 성체 접근 암시,면죄부는 이미 용서받은 죄에 대한 시간적 벌의 감면이다,비정규적 상황에 있는 이들에 대해 어떤 식별 과정도 필요 없다는 명제,NO,"A는 면죄부의 정의를 다루고, B가 단죄하는 명제는 비정규적 상황의 사람들에 대한 식별 과정에 관한 것으로, 사실상 동일한 명제가 아니다.",NO,"A는 면죄부의 정의를 다루고, B가 단죄하는 명제는 비정규적 상황의 사람들에 대한 식별 과정에 관한 것으로, 사실상 동일한 명제가 아니다."
0.722,,COUNCIL-NICAEA_CHALCEDON,초기 공의회 (삼위일체와 기독론),CCC-456_478,강생과 그리스도의 구원 사역,예수 그리스도 안에는 신성과 인성이 혼동되거나 분리되지 않고 고스란히 남아 하나의 위격을 이룬다.,예수 그리스도 외에 하느님과 인간 사이의 다른 동등한 중개자가 존재한다.,NO,"A가 주장하는 그리스도의 신인성 일치와 B가 단죄하는 다른 중개자의 존재는 관련되지만 서로 동일한 명제가 아니며, 방향 측면에서 같은 신학적 입장을 다른 각도에서 표현한 것이다.",NO,"A가 주장하는 그리스도의 신인성 일치와 B가 단죄하는 다른 중개자의 존재는 관련되지만 서로 동일한 명제가 아니며, 방향 측면에서 같은 신학적 입장을 다른 각도에서 표현한 것이다."
0.722,,PAPAL-MUNIF,Munificentissimus Deus (성모 몽소승천),CCC-846_848,교회 밖의 구원 (Extra Ecclesiam nulla salus),이 신앙을 고의로 부인하거나 의심하는 자는 가톨릭 신앙에서 떨어져 나간 것이다.,가톨릭 교회의 필요성을 분명히 알고도 이를 의도적으로 거부한 자가 구원받을 수 있다.,NO,"A가 주장하는 '의도적 부인→신앙 탈출'과 B가 단죄하는 '의도적 거부→구원 가능'은 같은 상황에 대해 반대 결론을 내리지만, A가 주장하는 바로 그것을 B가 단죄하는 것이 아니다.",NO,"A가 주장하는 '의도적 부인→신앙 탈출'과 B가 단죄하는 '의도적 거부→구원 가능'은 같은 상황에 대해 반대 결론을 내리지만, A가 주장하는 바로 그것을 B가 단죄하는 것이 아니다."
0.722,,PAPAL-MUNIF,Munificentissimus Deus (성모 몽소승천),COUNCIL-LATERAN_IV,교회 밖 구원 없음과 화체설,이 신앙을 고의로 부인하거나 의심하는 자는 가톨릭 신앙에서 떨어져 나간 것이다.,가톨릭 교회에 속하지 않은 타 종파 신자나 이교도도 구원받을 수 있다.,NO,"A는 신앙의 '의도적 부인'을 다루고, B가 단죄하는 것은 단순히 '가톨릭 교회에 속하지 않음'으로, 의도적 거부 여부의 조건이 상이하다.",NO,"A는 신앙의 '의도적 부인'을 다루고, B가 단죄하는 것은 단순히 '가톨릭 교회에 속하지 않음'으로, 의도적 거부 여부의 조건이 상이하다."
0.722,,TRENT-S07-C05,세례가 구원에 필수 아니라 하면 파문,TRENT-S22-C01,미사는 참된 속죄 제사,세례는 선택 사항이 아니라 의무이다,그리스도의 십자가 희생이 유일하며 미사에서 반복/재현될 수 없다는 명제,NO,"A는 세례의 필수성을 다루고, B가 단죄하는 명제는 그리스도의 희생과 미사에 관한 것으로, 완전히 다른 주제이다.",NO,"A는 세례의 필수성을 다루고, B가 단죄하는 명제는 그리스도의 희생과 미사에 관한 것으로, 완전히 다른 주제이다."
0.722,,TRENT-S24-MARRIAGE,혼인 성사의 불가해소성,TRENT-S05,원죄 교령,"간통이나 이단, 동거 불가, 의도적 부재를 이유로 혼인이 해소될 수 없다",영아 세례는 무효하며 불필요하다(재세례파 단죄).,NO,"A는 혼인의 해소 불가능성을 다루고, B가 단죄하는 명제는 영아 세례에 관한 것으로, 전혀 무관한 교리들이다.",NO,"A는 혼인의 해소 불가능성을 다루고, B가 단죄하는 명제는 영아 세례에 관한 것으로, 전혀 무관한 교리들이다."
0.722,,CCC-2010,공로 (Meritum),CCC-1250,유아 세례의 필요성 (원죄로부터의 해방),공로를 통해 영원한 생명을 획득할 수 있다,세례받지 않은 유아도 이미 하느님 자녀의 자유 안에 있다는 명제,NO,"A는 공로를 통한 영원한 생명 획득을 다루고, B가 단죄하는 것은 세례받지 않은 유아의 신학적 신분에 관한 것으로 서로 다른 주제입니다.",NO,"A는 공로를 통한 영원한 생명 획득을 다루고, B가 단죄하는 것은 세례받지 않은 유아의 신학적 신분에 관한 것으로 서로 다른 주제입니다."
0.722,3,CANON-SACR,성사 일반과 성체 영성체의 제한,DENZINGER-SYLLABUS-15_18,Syllabus Errorum 명제 15~18: 무관심주의·종교 자유 단죄 (DH와 정면 대비),"죽을 위험 등 극히 예외적인 상황에서는, 일정한 조건을 갖춘 비가톨릭 기독교인에게도 성사(고해, 성체, 병자)를 합법적으로 수여할 수 있다(Canon 844).",비가톨릭 종교·교단에서도 구원받을 수 있다는 명제,NO,"A는 위험 상황에서 조건부·예외적으로 특정 비가톨릭 신자에게 성사를 줄 수 있다는 교회법상 좁은 예외 규정이고, B가 단죄하는 것은 '어느 종교에서든 구원 가능'이라는 무차별주의 명제로 범위와 주장 내용이 다르다.",NO,"A는 위험 상황에서 조건부·예외적으로 특정 비가톨릭 신자에게 성사를 줄 수 있다는 교회법상 좁은 예외 규정이고, B가 단죄하는 것은 '어느 종교에서든 구원 가능'이라는 무차별주의 명제로 범위와 주장 내용이 다르다."
0.722,3,CCC-1257,세례의 필수성,CDF-DOMINUS-20_22,Dominus Iesus 20~22항: 비그리스도인의 구원과 교회의 필요성 (다원주의 배척),"세례의 필수성은 주님 자신의 말씀(요한 3,5)에 근거한다",모든 종교가 동등한 구원의 길이라는 종교 다원주의·상대주의 명제,NO,A(세례의 필수성)와 B가 단죄하는 종교다원주의 명제는 오히려 같은 방향(구원의 특수성·필수성 강조)이며 서로 배격하는 대상이 아니다.,NO,A(세례의 필수성)와 B가 단죄하는 종교다원주의 명제는 오히려 같은 방향(구원의 특수성·필수성 강조)이며 서로 배격하는 대상이 아니다.
0.722,4,CCC-1471,면죄부 (Indulgentia),TRENT-S07-C01,7성사가 그리스도께서 친히 제정하신 것이 아니라면 파문,면죄부는 합당한 조건을 갖춘 신자에게 적용된다,성사의 수가 일곱이 아니라는 명제,NO,"A는 면죄부(대사) 적용 조건에 관한 것이고 B가 단죄하는 것은 성사 수가 일곱이 아니라는 명제로, 완전히 다른 주제를 다룬다.",NO,"A는 면죄부(대사) 적용 조건에 관한 것이고 B가 단죄하는 것은 성사 수가 일곱이 아니라는 명제로, 완전히 다른 주제를 다룬다."
0.722,3,CCC-1471_1479,"대사 (면죄부, Indulgentia)",CANON-C0748,양심에 반한 신앙 강요 절대 금지,"교회는 그리스도와 성인들의 영적 보화를 관리하며, 대사(면벌)를 통해 신자들의 잠벌을 면제해 줄 권한이 있다.",국가 권력이나 교회 권위가 강제로 신앙을 주입할 수 있다.,NO,A는 교회의 영적 보화 관리 및 대사 권한에 관한 것이고 B가 단죄하는 것은 신앙의 강제 주입에 관한 것으로 무관한 주제다.,NO,A는 교회의 영적 보화 관리 및 대사 권한에 관한 것이고 B가 단죄하는 것은 신앙의 강제 주입에 관한 것으로 무관한 주제다.
0.722,4,CCC-2010,공로 (Meritum),TRENT-S25-INDULGENCES,대사 교령: 교회의 대사 수여권을 부정하면 파문,공로를 통해 영원한 생명을 획득할 수 있다,대사가 무익하다는 명제,NO,A(공로를 통한 영원한 생명 획득)와 B가 단죄하는 '대사가 무익하다'는 명제는 둘 다 가톨릭이 긍정하는 입장(공로·대사의 유효성)과 같은 편이므로 상충이 아니다.,NO,A(공로를 통한 영원한 생명 획득)와 B가 단죄하는 '대사가 무익하다'는 명제는 둘 다 가톨릭이 긍정하는 입장(공로·대사의 유효성)과 같은 편이므로 상충이 아니다.
0.722,4,CCC-2068,계명 준수로 구원,TRENT-S06-C23,"의화된 자는 죄지을 수 없다 하거나, 마리아 특전 없이 평생 무죄가 가능하다 하면 파문",십계명을 어기는 대죄를 짓고 회개하지 않으면 영원한 구원을 상실한다,의화된 자는 (본성적으로) 죄를 지을 수 없다는 명제 (완전주의),NO,A(회개 없는 대죄는 구원 상실)와 B가 단죄하는 '의화된 자는 죄지을 수 없다'는 완전주의 명제는 오히려 같은 전제(의화된 자도 죄를 지을 수 있다)를 공유하는 동일 입장이다.,NO,A(회개 없는 대죄는 구원 상실)와 B가 단죄하는 '의화된 자는 죄지을 수 없다'는 완전주의 명제는 오히려 같은 전제(의화된 자도 죄를 지을 수 있다)를 공유하는 동일 입장이다.
0.722,3,CCC-2181,주일 미사 의무,LG-14,"Lumen Gentium 14항: 교회의 구원 필요성과 ""알면서 거부하면 구원 불가""",교회법은 미사 참여를 의무로 규정한다 (교회법 1247조),가시적 교회 소속만으로 자동 구원이 보장된다는 명제 (2단락이 명시적으로 부정),NO,A는 미사 참여 의무에 관한 교회법 규정이고 B가 단죄하는 것은 가시적 교회 소속만으로 자동 구원이 보장된다는 명제로 서로 다른 주제다.,NO,A는 미사 참여 의무에 관한 교회법 규정이고 B가 단죄하는 것은 가시적 교회 소속만으로 자동 구원이 보장된다는 명제로 서로 다른 주제다.
0.722,3,CDF-DOMINUS-20_22,Dominus Iesus 20~22항: 비그리스도인의 구원과 교회의 필요성 (다원주의 배척),CCC-1498,면죄부의 죽은 자 적용,타 종교의 기도·의식은 신적 기원이나 사효적 구원 효력을 지닐 수 없다,죽은 후에는 어떤 영적 도움도 불가능하다,NO,A는 타 종교 의식의 구원 효력 문제를 다루고 B가 단죄하는 것은 죽은 자를 위한 영적 도움의 가능성 부정에 관한 것으로 전혀 다른 주제다.,NO,A는 타 종교 의식의 구원 효력 문제를 다루고 B가 단죄하는 것은 죽은 자를 위한 영적 도움의 가능성 부정에 관한 것으로 전혀 다른 주제다.
0.722,4,DENZINGER-SYLLABUS-15_18,Syllabus Errorum 명제 15~18: 무관심주의·종교 자유 단죄 (DH와 정면 대비),TRENT-S06-C12,의화시키는 믿음이 단지 자비에 대한 확신일 뿐이라면 파문,어떤 종교를 신봉하든 그 안에서 구원을 얻을 수 있다는 명제는 오류로 단죄된다,의화시키는 믿음이 곧 하느님 자비에 대한 확신일 뿐이라는 명제,NO,"A는 종교다원주의(타 종교에서도 구원 가능)를 오류로 단죄한다는 주장이고, B가 단죄하는 명제는 의화신앙을 단순한 자비 확신으로 축소하는 것으로, 주제와 대상이 전혀 다르다.",NO,"A는 종교다원주의(타 종교에서도 구원 가능)를 오류로 단죄한다는 주장이고, B가 단죄하는 명제는 의화신앙을 단순한 자비 확신으로 축소하는 것으로, 주제와 대상이 전혀 다르다."
0.722,4,UNAM-SANCTAM,교황 복종이 구원에 절대 필요,CDF-DOMINUS-16_17,"Dominus Iesus 16~17항: 비가톨릭 그리스도교 공동체는 ""본래 의미의 교회가 아니다""","하나이고 거룩한 가톨릭 사도 교회 밖에는 구원도, 죄의 사함도 없다 (Extra Ecclesiam nulla salus)","사도 계승과 유효한 성체성사가 없는 그리스도교 공동체도 가톨릭·정교회와 동등한 의미에서 ""교회""라는 명제",NO,"A는 교회 밖 구원 불가를 주장하고 B는 사도 계승 없는 공동체를 교회와 동등시하는 것을 단죄하는데, 둘 다 교회의 배타적 지위를 옹호하는 같은 방향의 주장이지 A의 주장 자체가 B의 단죄 대상과 동일하지 않다.",NO,"A는 교회 밖 구원 불가를 주장하고 B는 사도 계승 없는 공동체를 교회와 동등시하는 것을 단죄하는데, 둘 다 교회의 배타적 지위를 옹호하는 같은 방향의 주장이지 A의 주장 자체가 B의 단죄 대상과 동일하지 않다."
0.722,3,TRENT-S06-C05,아담의 죄로 자유의지가 완전히 소멸했다면 파문,CCC-1261,세례 없이 죽은 유아의 구원 희망,자유의지는 실재하는 것이며 이름뿐인 허구가 아니다,세례받지 못한 유아에게는 어떠한 구원의 길도 존재할 수 없다는 명제,NO,A는 자유의지의 실재성에 관한 주장이고 B는 세례받지 못한 유아의 구원 가능성에 관한 것으로 전혀 다른 주제이며 논리적 접점이 없다.,NO,A는 자유의지의 실재성에 관한 주장이고 B는 세례받지 못한 유아의 구원 가능성에 관한 것으로 전혀 다른 주제이며 논리적 접점이 없다.
0.722,5,TRENT-S06-C05,아담의 죄로 자유의지가 완전히 소멸했다면 파문,UNAM-SANCTAM,교황 복종이 구원에 절대 필요,자유의지는 실재하는 것이며 이름뿐인 허구가 아니다,교황에 대한 복종 없이도 구원받을 수 있다는 명제,NO,A는 자유의지 실재론이고 B는 교황 복종 없는 구원 가능성을 단죄하는 것으로 주제가 무관하다.,NO,A는 자유의지 실재론이고 B는 교황 복종 없는 구원 가능성을 단죄하는 것으로 주제가 무관하다.
0.722,5,TRENT-S06-C05,아담의 죄로 자유의지가 완전히 소멸했다면 파문,TRENT-S13-C06,성체를 흠숭(latria)으로 경배하지 않으면 파문,자유의지는 실재하는 것이며 이름뿐인 허구가 아니다,성체 안의 그리스도가 흠숭받을 대상이 아니라는 명제,NO,A는 자유의지에 관한 것이고 B는 성체 흠숭 거부를 단죄하는 것으로 서로 다른 교리 영역이다.,NO,A는 자유의지에 관한 것이고 B는 성체 흠숭 거부를 단죄하는 것으로 서로 다른 교리 영역이다.
0.722,2,TRENT-S06-C13,죄 사함을 흔들림 없이 확신해야 한다면 파문,NA-02,"Nostra Aetate 2항: 타 종교 안에 있는 ""참되고 거룩한 것""의 인정",자신이 하느님의 은총을 얻었다는 것을 오류 불가능한 신앙적 확실성으로 아는 사람은 없다,타 종교 안의 참된 요소를 인정하는 것이 그리스도 선포의 필요성을 없앤다는 명제 (공의회가 명시적으로 부정),NO,A는 은총 확신의 인식론적 한계에 관한 것이고 B는 타 종교의 참된 요소 인정이 선포 필요성을 없앤다는 명제를 단죄하는 것으로 주제가 다르다.,NO,A는 은총 확신의 인식론적 한계에 관한 것이고 B는 타 종교의 참된 요소 인정이 선포 필요성을 없앤다는 명제를 단죄하는 것으로 주제가 다르다.
