Score,Level,Card_A_Claiming,Title_A,Card_B_Negating,Title_B,Claim_Text,Negate_Text
0.705,4,TRENT-S06-CH04,세례의 열망(Votum Baptismi),TRENT-S06-C12,의화시키는 믿음이 단지 자비에 대한 확신일 뿐이라면 파문,이 원리는 복음이 공포된 이후의 시대에 적용된다,그 확신 하나만으로 의화가 이루어진다는 명제 (종교개혁적 신앙 개념 비판)
0.705,3,TRENT-S06-CH04,세례의 열망(Votum Baptismi),CCC-1376,화체설 (Transsubstantiatio),요한 3:5은 이 교리의 성경적 근거이다,빵과 포도주의 실체와 그리스도의 실체가 공존한다
0.705,5,TRENT-S07-C05,세례가 구원에 필수 아니라 하면 파문,TRENT-S24-C09,서품·정결서원자가 유효하게 혼인할 수 있다면 파문 (성직자 독신제 근거),세례는 선택 사항이 아니라 의무이다,정결의 은사를 느끼지 못하는 서원자는 서원했어도 혼인할 수 있다는 명제
0.705,5,TRENT-S13-C11,믿음만으로 성체를 합당하게 받기에 충분하다면 파문,TRENT-S06-C12,의화시키는 믿음이 단지 자비에 대한 확신일 뿐이라면 파문,완전한 통회를 스스로 느낀다 해도 사전 고해성사를 대체할 수 없다,그 확신 하나만으로 의화가 이루어진다는 명제 (종교개혁적 신앙 개념 비판)
0.705,3,TRENT-S24,혼인성사,CDF-RESPONSUM,Responsum ad Dubium (2021) 동성 결합 축복 금지,그리스도교 신자 사이의 혼인은 은총을 수여하는 참된 성사이다.,동성 커플이라 할지라도 그들 안의 긍정적 요소를 인정하여 교회가 축복을 내릴 수 있다 (불과 2년 뒤인 2023년 Fiducia Supplicans와 완벽하고 직접적인 논리적 충돌).
0.705,5,TRENT-S24-MARRIAGE,혼인 성사의 불가해소성,TRENT-S06-C23,"의화된 자는 죄지을 수 없다 하거나, 마리아 특전 없이 평생 무죄가 가능하다 하면 파문",혼인은 그리스도에 의해 제정된 일곱 성사 중 하나이다,마리아를 제외한 어떤 인간도 특별한 특전 없이 평생 완전 무죄를 유지할 수 있다는 명제
0.705,2,TRENT-S24-MARRIAGE,혼인 성사의 불가해소성,GS-51,"Gaudium et Spes 51항: 책임 있는 출산과 산아 조절의 ""객관적 기준""",혼인은 그리스도에 의해 제정된 일곱 성사 중 하나이다,교회가 비난하는 산아 조절 방법이라도 부부가 자율적으로 선택할 도덕적 권리가 있다는 명제
0.705,2,TRENT-S25-PURGATORY,연옥 교령: 연옥은 존재하며 산 자의 도고(특히 미사)로 도움받는다,GS-16,"Gaudium et Spes 16항: 양심 — ""인간의 가장 은밀한 핵심이자 지성소""","이 교리의 근거는 성경과 교부 전통, 이전 공의회들의 가르침이다",양심이 단지 사회적 관습이나 교회 규정의 산물일 뿐 하느님과의 직접적 대면 장소가 아니라는 명제
0.705,2,DIGNITATIS-HUMANAE,종교 자유에 관한 선언,CCC-1987_2016,"칭의(의화)와 은총, 그리고 공로",모든 인간은 종교 자유에 대한 권리를 가진다,은총 앞에서 인간의 자유의지는 완전히 수동적이다.
0.705,1,DIGNITATIS-HUMANAE,종교 자유에 관한 선언,GS-51,"Gaudium et Spes 51항: 책임 있는 출산과 산아 조절의 ""객관적 기준""",아무도 자기 양심에 반하여 종교 행위를 강요받아서는 안 된다,교회가 비난하는 산아 조절 방법이라도 부부가 자율적으로 선택할 도덕적 권리가 있다는 명제
0.705,2,GS-51,"Gaudium et Spes 51항: 책임 있는 출산과 산아 조절의 ""객관적 기준""",TRENT-S24-C09,서품·정결서원자가 유효하게 혼인할 수 있다면 파문 (성직자 독신제 근거),참된 부부 사랑의 법과 생명 전달에 관한 하느님의 법 사이에는 참된 모순이 있을 수 없다,서품자·서원 수도자의 혼인이 교회법·서원에도 불구하고 유효하다는 명제
0.705,3,LG-12,Lumen Gentium 12항: 신자 전체의 신앙 무오류성 (Sensus Fidei),LG-14,"Lumen Gentium 14항: 교회의 구원 필요성과 ""알면서 거부하면 구원 불가""",주교부터 평신도까지 온 신자 전체(하느님의 백성)는 신앙 문제에서 오류를 범할 수 없다(in credendo falli nequit),가시적 교회 소속만으로 자동 구원이 보장된다는 명제 (2단락이 명시적으로 부정)
0.705,3,LG-12,Lumen Gentium 12항: 신자 전체의 신앙 무오류성 (Sensus Fidei),DENZINGER-FEENEY-VOTUM,"1949년 Feeney 서한: ""열망(votum)""의 정확한 신학적 조건",신자 전체는 진리의 성령에 의해 이 식별력을 일깨우고 유지 받는다,모든 종교에서 동등하게 구원받을 수 있다는 명제 (문서가 비오 9세의 단죄를 재인용하며 이를 부정)
0.705,3,LG-14,"Lumen Gentium 14항: 교회의 구원 필요성과 ""알면서 거부하면 구원 불가""",CCC-1452,완전한 통회 (Contritio Perfecta),"그리스도는 유일한 중개자이자 구원의 유일한 길이며, 교회를 통해 우리에게 현존한다",대죄는 오직 고해성사를 통해서만 용서될 수 있다 (예외 없이)
0.705,4,LG-16,Lumen Gentium 16항: 복음을 모르는 이들의 구원 가능성,TRENT-S25-PURGATORY,연옥 교령: 연옥은 존재하며 산 자의 도고(특히 미사)로 도움받는다,"무슬림은 아브라함의 신앙을 지니고 있다고 공언하며, 유일하신 하느님을 경배한다",연옥이 존재하지 않는다는 명제
0.705,3,LG-16,Lumen Gentium 16항: 복음을 모르는 이들의 구원 가능성,CCC-1376,화체설 (Transsubstantiatio),자기 잘못 없이 그리스도의 복음과 교회를 모르면서도 성실한 마음으로 하느님을 찾고 양심의 지시에 따라 올바로 살려고 하는 이들은 영원한 구원에 이를 수 있다,그리스도의 현존은 영적/비유적 의미일 뿐이다
0.705,3,LG-62,Lumen Gentium 62항: 마리아의 칭호 — 중개자(Mediatrix)·보호자(Advocate) (그리스도의 유일한 중개직에 종속),CCC-1213_1284,세례 성사의 은총,어떤 피조물도 성육신하신 말씀이자 구속주이신 그리스도와 동등하게 여겨질 수 없다,세례를 받은 후에도 원죄가 그대로 남아 있다(형식적인 덮음만 있다).
0.705,4,LG-62,Lumen Gentium 62항: 마리아의 칭호 — 중개자(Mediatrix)·보호자(Advocate) (그리스도의 유일한 중개직에 종속),TRENT-S25-INDULGENCES,대사 교령: 교회의 대사 수여권을 부정하면 파문,어떤 피조물도 성육신하신 말씀이자 구속주이신 그리스도와 동등하게 여겨질 수 없다,교회에 대사를 수여할 권한이 없다는 명제 (루터의 95개조 논제의 핵심 주장 중 하나)
0.704,4,CCC-0491,마리아 무염시태,TRENT-S13-C01,화체설: 빵과 포도주의 실체 변환,이 보존은 하느님의 특별한 은총과 특전에 의한 것이다,그리스도가 성체 안에 힘(virtus)으로만 현존한다는 명제 (칼빈주의)
0.704,3,CCC-0491,마리아 무염시태,LG-16,Lumen Gentium 16항: 복음을 모르는 이들의 구원 가능성,마리아는 원죄 없이 잉태된 유일한 인간이다,세례를 실제로 받지 않은 자는 어떤 경우에도 구원받을 수 없다는 명제
0.704,3,CCC-1257,세례의 필수성,CCC-1376,화체설 (Transsubstantiatio),"세례의 필수성은 주님 자신의 말씀(요한 3,5)에 근거한다",빵과 포도주의 실체와 그리스도의 실체가 공존한다
0.704,4,CCC-1376,화체설 (Transsubstantiatio),TRENT-S14-C12,하느님이 항상 죄책과 함께 형벌 전체를 사하신다면 파문 (잠벌 교리의 근거),축성으로 포도주의 전 실체가 그리스도의 피의 실체로 변환된다,보속이 그리스도의 속죄를 믿는 믿음과 동일하며 별도의 실천(고행 등)이 불필요하다는 명제
0.704,3,CCC-1452,완전한 통회 (Contritio Perfecta),CDF-DOMINUS-20_22,Dominus Iesus 20~22항: 비그리스도인의 구원과 교회의 필요성 (다원주의 배척),고해성사 이전에도 대죄의 용서가 가능하다,모든 종교가 동등한 구원의 길이라는 종교 다원주의·상대주의 명제
0.704,4,CCC-1452,완전한 통회 (Contritio Perfecta),TRENT-S06-C30,의화 후 잠벌이 전혀 남지 않는다면 파문 (연옥 신학의 토대),고해성사 이전에도 대죄의 용서가 가능하다,사죄받으면 어떤 형벌의 빚도 전혀 남지 않는다는 명제 (연옥 부정의 근거가 되는 주장)
0.704,3,CCC-1471_1479,"대사 (면죄부, Indulgentia)",CANON-C0205,완전한 친교의 조건,"교회는 그리스도와 성인들의 영적 보화를 관리하며, 대사(면벌)를 통해 신자들의 잠벌을 면제해 줄 권한이 있다.",세례와 신앙고백만 있으면 성사·교회통치 유대 없이도 완전한 친교로 인정된다.
0.704,4,CCC-2010,공로 (Meritum),TRENT-S24-MARRIAGE,혼인 성사의 불가해소성,공로를 통해 영원한 생명을 획득할 수 있다,이단이나 동거 불가를 이유로 혼인이 해소될 수 있다는 명제
0.704,4,CCC-2068,계명 준수로 구원,TRENT-S07-C05,세례가 구원에 필수 아니라 하면 파문,십계명을 어기는 대죄를 짓고 회개하지 않으면 영원한 구원을 상실한다,세례 없이도 믿음만으로 구원받을 수 있다는 명제
0.704,4,CCC-2357,동성애 (Homosexualitas),TRENT-S22-C01,미사는 참된 속죄 제사,성경은 동성애 행위를 중대한 타락으로 제시한다,미사에 속죄적 가치가 없다는 명제
0.704,4,CCC-402_412,원죄와 그 결과,TRENT-S06-C05,아담의 죄로 자유의지가 완전히 소멸했다면 파문,아담의 첫 범죄로 인해 원죄가 생물학적 번식을 통해 모든 인류에게 전수된다.,아담의 죄로 인해 인간의 자유의지가 완전히 소멸/상실되었다는 명제 (전적 타락의 극단적 해석)
0.704,3,CCC-846_848,교회 밖의 구원 (Extra Ecclesiam nulla salus),CCC-161_165,믿음과 구원,가톨릭 교회가 그리스도에 의해 세워진 구원의 필수적 방도임을 아는 사람이 교회를 거부하거나 떠나면 구원받을 수 없다.,예수 그리스도를 향한 믿음 없이도 구원을 얻을 수 있다.
0.704,4,CDF-DOMINUS-16_17,"Dominus Iesus 16~17항: 비가톨릭 그리스도교 공동체는 ""본래 의미의 교회가 아니다""",TRENT-S07-C01,7성사가 그리스도께서 친히 제정하신 것이 아니라면 파문,"유효한 주교직과 성체성사의 온전한 실체를 보존하지 못한 공동체(대다수 개신교 교단)는 ""본래 의미의 교회가 아니다""",성사 중 일부가 교회의 인간적 제도일 뿐 그리스도의 제정이 아니라는 명제 (개신교 2성사설 등)
0.704,3,CDF-DOMINUS-20_22,Dominus Iesus 20~22항: 비그리스도인의 구원과 교회의 필요성 (다원주의 배척),CANON-C0751,이단·배교·열교의 법적 정의,"교회를 타 종교와 나란한, 보완적이거나 실질적으로 동등한 구원의 길로 여기는 것은 신앙에 어긋난다",세례 받지 않은 타종교인의 불신도 교회법상 이단에 해당한다.
0.704,1,ITC-LIMBO-2007,세례 없이 죽은 유아의 구원 희망 (림보 교리의 사실상 폐기),CCC-1261,세례 없이 죽은 유아의 구원 희망,림보는 확정 교리가 아니라 가능한 신학적 가설에 불과하다,세례받지 못한 유아에게는 어떠한 구원의 길도 존재할 수 없다는 명제
0.704,2,ITC-LIMBO-2007,세례 없이 죽은 유아의 구원 희망 (림보 교리의 사실상 폐기),CCC-2357,동성애 (Homosexualitas),림보는 확정 교리가 아니라 가능한 신학적 가설에 불과하다,성경은 동성애에 대해 침묵한다
0.704,2,ITC-LIMBO-2007,세례 없이 죽은 유아의 구원 희망 (림보 교리의 사실상 폐기),TRENT-S25-PURGATORY,연옥 교령: 연옥은 존재하며 산 자의 도고(특히 미사)로 도움받는다,림보는 확정 교리가 아니라 가능한 신학적 가설에 불과하다,죽은 자를 위한 기도와 미사가 무익하다는 명제
0.704,3,COUNCIL-LATERAN_IV-C21,Canon 21: 연례 고백·영성체 의무와 고해 인장,TRENT-S14,고해성사와 병자성사,"위반의 제재는 파문이 아니라 ""생전 성당 출입 금지 + 사후 그리스도교 장례 거부""라는 사회적·사목적 배제이다.",고해성사는 성사가 아니라 교회가 억압을 위해 고안한 인간적 전통이다.
0.704,2,FIDUCIA-SUPPLICANS,동성 커플 축복 허용,TRENT-S22-C03,미사가 속죄 제사가 아니라 단순한 찬미/기념일 뿐이라면 파문,"이 축복은 혼인 성사와 혼동되어서는 안 되며, 비정규적 결합을 승인하는 것이 아니다",미사가 단지 찬미와 감사의 제사일 뿐 속죄 제사가 아니라는 명제 (개신교적 성찬관)
0.704,4,UNAM-SANCTAM,교황 복종이 구원에 절대 필요,LG-62,Lumen Gentium 62항: 마리아의 칭호 — 중개자(Mediatrix)·보호자(Advocate) (그리스도의 유일한 중개직에 종속),"하나이고 거룩한 가톨릭 사도 교회 밖에는 구원도, 죄의 사함도 없다 (Extra Ecclesiam nulla salus)","마리아가 그리스도와 별개의, 또는 동등한 구원의 중개자라는 명제"
0.704,5,TRENT-S06-C03,성령의 선행 은총 없이 스스로 믿을 수 있다면 파문,TRENT-S13-C11,믿음만으로 성체를 합당하게 받기에 충분하다면 파문,의화 은총을 얻기 위한 신앙의 시작 자체가 성령의 선행 은총에 의존한다,믿음만 있으면 대죄 상태에서도 성체를 합당하게 받을 수 있다는 명제 (sola fide의 성체론적 적용)
0.704,2,TRENT-S06-C05,아담의 죄로 자유의지가 완전히 소멸했다면 파문,NOSTRA-AETATE,비그리스도교와 교회의 관계에 대한 선언,자유의지는 실재하는 것이며 이름뿐인 허구가 아니다,비그리스도교에는 어떤 참되거나 거룩한 것도 없다는 명제
0.704,5,TRENT-S06-C12,의화시키는 믿음이 단지 자비에 대한 확신일 뿐이라면 파문,TRENT-S13-C06,성체를 흠숭(latria)으로 경배하지 않으면 파문,그러한 확신만으로 의화된다는 명제는 오류이다,성체 안의 그리스도가 흠숭받을 대상이 아니라는 명제
0.704,5,TRENT-S06-C13,죄 사함을 흔들림 없이 확신해야 한다면 파문,TRENT-S06-C11,그리스도 의(義)의 전가만으로 의롭다면 파문 (법정적 칭의론 단죄),죄 사함을 얻기 위해 자신이 확실히 용서받았다고 조금의 흔들림도 없이 믿어야 하는 것은 아니다,은총이 단지 죄를 덮는 하느님의 호의일 뿐 내적 변화가 아니라는 명제
0.704,4,TRENT-S13-C06,성체를 흠숭(latria)으로 경배하지 않으면 파문,CCC-0491,마리아 무염시태,성체를 경배하는 것은 우상숭배가 아니다,원죄의 보편적 전달에 예외가 없다
0.704,4,TRENT-S13-C06,성체를 흠숭(latria)으로 경배하지 않으면 파문,LG-12,Lumen Gentium 12항: 신자 전체의 신앙 무오류성 (Sensus Fidei),성체를 경배하는 것은 우상숭배가 아니다,무오류성이 오직 교황과 주교단(교계)에게만 있고 평신도를 포함한 신자 전체에게는 전혀 없다는 명제
0.704,5,TRENT-S13-C11,믿음만으로 성체를 합당하게 받기에 충분하다면 파문,TRENT-S24-C09,서품·정결서원자가 유효하게 혼인할 수 있다면 파문 (성직자 독신제 근거),대죄 상태에 있는 자는 (고해 신부를 구할 수 있는 한) 반드시 사전에 고해성사를 받아야 성체를 합당하게 영할 수 있다,서품자·서원 수도자의 혼인이 교회법·서원에도 불구하고 유효하다는 명제
0.704,3,TRENT-S14,고해성사와 병자성사,COUNCIL-FLORENCE-EXSULTATE,Exsultate Deo (아르메니아인 교령: 7성사 정의),구원을 위해서는 세례 후 지은 모든 대죄를 사제에게 구두로 은밀하게 고백하는 것이 신법으로 필수적이다.,세례의 유효성은 집전자의 신앙 고백 여부에 좌우된다 — 이 교령은 이교도·이단자의 집전도 형식과 지향만 갖추면 유효하다고 명시한다.
0.704,4,TRENT-S22-C01,미사는 참된 속죄 제사,CDF-DOMINUS-20_22,Dominus Iesus 20~22항: 비그리스도인의 구원과 교회의 필요성 (다원주의 배척),미사에서 하느님께 참되고 고유한 희생 제사가 봉헌된다,모든 종교가 동등한 구원의 길이라는 종교 다원주의·상대주의 명제
0.704,5,VAT1-PASTOR-AETERNUS,교황 무류성 선언 (Ex Cathedra),TRENT-S07-C08,성사가 사효적(ex opere operato)으로 은총을 주지 않는다면 파문,교황이 사도좌에서(ex cathedra) 신앙이나 도덕에 관한 교리를 확정할 때 무류하다,성사가 단지 믿음을 표현하는 외적 표지일 뿐 그 자체로 은총을 전달하지 않는다는 명제 (기념설적 성사관)
0.704,2,DH-02_03,Dignitatis Humanae 2~3항: 종교 자유의 근거 (Syllabus와 정면 대비),TRENT-S06-C12,의화시키는 믿음이 단지 자비에 대한 확신일 뿐이라면 파문,어떤 인간 권력도 내적 종교 행위를 명령하거나 금지할 수 없다,그 확신 하나만으로 의화가 이루어진다는 명제 (종교개혁적 신앙 개념 비판)
0.704,3,LG-14,"Lumen Gentium 14항: 교회의 구원 필요성과 ""알면서 거부하면 구원 불가""",LG-62,Lumen Gentium 62항: 마리아의 칭호 — 중개자(Mediatrix)·보호자(Advocate) (그리스도의 유일한 중개직에 종속),"그리스도는 유일한 중개자이자 구원의 유일한 길이며, 교회를 통해 우리에게 현존한다","마리아가 그리스도와 별개의, 또는 동등한 구원의 중개자라는 명제"
0.704,2,LG-14,"Lumen Gentium 14항: 교회의 구원 필요성과 ""알면서 거부하면 구원 불가""",ITC-LIMBO-2007,세례 없이 죽은 유아의 구원 희망 (림보 교리의 사실상 폐기),세례를 통해 사람들은 문(門)처럼 교회에 들어간다,림보가 교회의 확정된 교의라는 명제
0.704,3,LG-14,"Lumen Gentium 14항: 교회의 구원 필요성과 ""알면서 거부하면 구원 불가""",LG-25,"Lumen Gentium 25항: 교황 통상 교도권에 대한 ""종교적 순종"" 의무",가톨릭 교회가 그리스도에 의해 필요하게 되었음을 **알면서도** 그 안에 들어가거나 머물기를 거부하는 자는 구원받을 수 없다,교황의 통상적(비-ex cathedra) 가르침에는 신자가 순종할 의무가 없고 오직 ex cathedra 선언만 구속력이 있다는 명제
0.704,3,LG-16,Lumen Gentium 16항: 복음을 모르는 이들의 구원 가능성,CDF-DOMINUS-20_22,Dominus Iesus 20~22항: 비그리스도인의 구원과 교회의 필요성 (다원주의 배척),신적 섭리는 이런 사람들에게 구원에 필요한 도움을 거부하지 않는다,교회가 여러 구원의 길 가운데 하나에 불과하다는 명제
0.703,2,CANON-GEN,"교회법 일반 (적용 대상, 이단, 배교)",COUNCIL-CONSTANCE-HAEC_SANCTA,Haec Sancta (공의회 우위론),교회법의 법적 구속력은 가톨릭 교회에서 세례를 받았거나 교회로 회심한 이들에게만 적용된다(이성 사용 능력이 있는 자).,이 교령의 구속력·유효성은 가톨릭 신학계에서 이론의 여지가 없다.
0.703,3,CANON-PENAL,형법과 자동 파문(Latae Sententiae),CCC-846_848,교회 밖의 구원 (Extra Ecclesiam nulla salus),"가톨릭 신자가 이단이나 배교에 빠질 경우, 교회의 명시적 선고 없이도 범죄 행위 자체만으로 즉시 자동 파문된다.",가톨릭 교회의 필요성을 분명히 알고도 이를 의도적으로 거부한 자가 구원받을 수 있다.
0.703,4,CCC-0847,교회 밖 구원 가능성,TRENT-S13-C11,믿음만으로 성체를 합당하게 받기에 충분하다면 파문,양심의 명령에 따라 하느님의 뜻을 실천하려는 노력이 필요하다,성체를 받기 전 사전 고해가 불필요하다는 명제
0.703,4,CCC-0847,교회 밖 구원 가능성,TRENT-S25-PURGATORY,연옥 교령: 연옥은 존재하며 산 자의 도고(특히 미사)로 도움받는다,양심의 명령에 따라 하느님의 뜻을 실천하려는 노력이 필요하다,죽은 자를 위한 기도와 미사가 무익하다는 명제
0.703,4,CCC-1250,유아 세례의 필요성 (원죄로부터의 해방),TRENT-S06-C32,선한 행위가 공로 없다 하면 파문,세례를 베풀지 않는 것은 아이에게서 하느님 자녀가 되는 은총을 빼앗는 것이다,"선한 행위가 오직 하느님의 선물일 뿐, 인간의 공로는 아니라는 명제"
0.703,4,CCC-1257,세례의 필수성,TRENT-S14-C12,하느님이 항상 죄책과 함께 형벌 전체를 사하신다면 파문 (잠벌 교리의 근거),교회는 세례 외에 구원의 다른 수단을 알지 못한다,보속이 그리스도의 속죄를 믿는 믿음과 동일하며 별도의 실천(고행 등)이 불필요하다는 명제
0.703,3,CCC-1257,세례의 필수성,DENZINGER-FEENEY-VOTUM,"1949년 Feeney 서한: ""열망(votum)""의 정확한 신학적 조건","세례의 필수성은 주님 자신의 말씀(요한 3,5)에 근거한다",모든 종교에서 동등하게 구원받을 수 있다는 명제 (문서가 비오 9세의 단죄를 재인용하며 이를 부정)
0.703,4,CCC-1257,세례의 필수성,TRENT-S06-C17,은총이 예정된 자에게만 주어지고 나머지는 악으로 예정되었다면 파문,"세례의 필수성은 주님 자신의 말씀(요한 3,5)에 근거한다",부르심을 받고 은총을 받지 못하는 것이 하느님의 적극적 저주 예정 때문이라는 명제
0.703,4,CCC-1257,세례의 필수성,TRENT-S06-C24,선행이 의화의 증가 원인이 아니라면 파문,"세례의 필수성은 주님 자신의 말씀(요한 3,5)에 근거한다",칭의가 단회적 선언이며 이후 성화 과정과 무관하다는 명제 (법정적 칭의론)
0.703,4,CCC-1452,완전한 통회 (Contritio Perfecta),TRENT-S07-C08,성사가 사효적(ex opere operato)으로 은총을 주지 않는다면 파문,완전한 통회는 하느님에 대한 사랑에서 비롯된다,하느님의 약속에 대한 믿음만 있으면 성사 없이도 은총을 얻는다는 명제
0.703,4,CCC-1471,면죄부 (Indulgentia),TRENT-S06-C17,은총이 예정된 자에게만 주어지고 나머지는 악으로 예정되었다면 파문,면죄부는 이미 용서받은 죄에 대한 시간적 벌의 감면이다,부르심을 받고 은총을 받지 못하는 것이 하느님의 적극적 저주 예정 때문이라는 명제
0.703,2,CCC-1471,면죄부 (Indulgentia),GS-51,"Gaudium et Spes 51항: 책임 있는 출산과 산아 조절의 ""객관적 기준""",면죄부는 합당한 조건을 갖춘 신자에게 적용된다,산아 조절 방법의 도덕성이 부부의 성실한 의도만으로 판단될 수 있다는 명제
0.703,4,CCC-2181,주일 미사 의무,TRENT-S05,원죄 교령,고의로 미사 의무를 이행하지 않는 것은 대죄이다,영아 세례는 무효하며 불필요하다(재세례파 단죄).
0.703,1,CCC-2267,"사형제도 (2018년 개정판: ""용납 불가"")",DH-02_03,Dignitatis Humanae 2~3항: 종교 자유의 근거 (Syllabus와 정면 대비),교회는 전 세계적 사형제 폐지를 위해 노력한다,국가가 참된 종교(가톨릭)만을 보호하고 다른 종교의 공적 예배를 억압해야 한다는 명제
0.703,3,COUNCIL-CONST_III,호노리우스 1세 교황 정죄,COUNCIL-LATERAN_IV-C5,Canon 5: 총대주교좌의 서열,로마 교황(호노리우스)이라 할지라도 이단적 교리를 수용하거나 묵인하여 교회를 더럽혔다면 공의회를 통해 이단자로 선고받고 파문될 수 있다.,"로마 교황권은 이 시기까지 다른 총대주교좌들에 대한 구체적 종속 절차(팔리움, 서약)를 요구하지 않았다."
0.703,4,DENZINGER-SYLLABUS-15_18,Syllabus Errorum 명제 15~18: 무관심주의·종교 자유 단죄 (DH와 정면 대비),UNAM-SANCTAM,교황 복종이 구원에 절대 필요,참된 교회(가톨릭) 밖에 있는 모든 이들의 구원에 대해서도 선한 희망을 가져야 한다는 명제조차 단죄 대상에 포함된다,가톨릭 교회 밖에서 구원이 가능하다는 명제
0.703,5,TRENT-S06-C01,은총 없이 본성/율법의 행위로 의화된다 하면 파문,TRENT-S14-C12,하느님이 항상 죄책과 함께 형벌 전체를 사하신다면 파문 (잠벌 교리의 근거),인간은 그리스도를 통한 하느님의 은총 없이는 결코 의화될 수 없다,보속이 그리스도의 속죄를 믿는 믿음과 동일하며 별도의 실천(고행 등)이 불필요하다는 명제
0.703,5,TRENT-S06-C03,성령의 선행 은총 없이 스스로 믿을 수 있다면 파문,TRENT-S06-C02,은총이 단지 쉽게 살도록 돕는 것뿐이라면 파문,믿음의 행위 자체가 이미 은총의 결과이다 (은총의 절대적 우선성),자유의지가 은총 없이도 (힘들게나마) 의로운 삶과 영생을 얻을 수 있다는 명제 (반펠라기우스주의)
0.703,5,TRENT-S06-C12,의화시키는 믿음이 단지 자비에 대한 확신일 뿐이라면 파문,TRENT-S06-C24,선행이 의화의 증가 원인이 아니라면 파문,그러한 확신만으로 의화된다는 명제는 오류이다,칭의가 단회적 선언이며 이후 성화 과정과 무관하다는 명제 (법정적 칭의론)
0.703,5,TRENT-S06-C13,죄 사함을 흔들림 없이 확신해야 한다면 파문,TRENT-S25-PURGATORY,연옥 교령: 연옥은 존재하며 산 자의 도고(특히 미사)로 도움받는다,자신이 하느님의 은총을 얻었다는 것을 오류 불가능한 신앙적 확실성으로 아는 사람은 없다,사후 정화 없이 모든 신자가 죽음과 동시에 즉각 천국 또는 지옥으로만 간다는 명제 (중간 상태 부정)
0.703,5,TRENT-S07,성사 일반과 세례,PAPAL-MUNIF-44,"Munificentissimus Deus 44~45항: 무류 정의 선언문과 ""신앙에서 완전히 떨어져 나갔음을 알라"" 경고","성사는 수령자의 믿음에만 의존하지 않고, 합당한 절차를 거치면 성사 자체의 행위로 은총을 부여한다(사효론).","몽소승천 교의가 성경에 명시적 근거가 없으므로 신자에게 구속력이 없다는 명제 — 이 문서는 이를 ""신적으로 계시된 교의""로 규정하여 정면 부정한다"
0.703,5,TRENT-S13-C01,화체설: 빵과 포도주의 실체 변환,TRENT-S13-C11,믿음만으로 성체를 합당하게 받기에 충분하다면 파문,"성체 성사 안에 그리스도의 몸과 피가 참으로(vere), 실재적으로(realiter), 실체적으로(substantialiter) 현존한다",믿음만 있으면 대죄 상태에서도 성체를 합당하게 받을 수 있다는 명제 (sola fide의 성체론적 적용)
0.703,5,TRENT-S13-C06,성체를 흠숭(latria)으로 경배하지 않으면 파문,TRENT-S14-C07,신법에 의해 모든 대죄를 낱낱이 고백할 의무가 없다면 파문,성체를 경배하는 것은 우상숭배가 아니다,모든 대죄를 낱낱이 고백할 신법적 의무가 없다는 명제
0.703,2,TRENT-S14-CONFESSION,사제의 사죄가 죄 사함에 필수,NA-02,"Nostra Aetate 2항: 타 종교 안에 있는 ""참되고 거룩한 것""의 인정",세례 후 대죄의 사함을 위해 사제 앞 고백은 하느님의 법에 의해 필수이다,타 종교 안의 참된 요소를 인정하는 것이 그리스도 선포의 필요성을 없앤다는 명제 (공의회가 명시적으로 부정)
0.703,5,TRENT-S22-C01,미사는 참된 속죄 제사,TRENT-S07-C05,세례가 구원에 필수 아니라 하면 파문,미사에서 하느님께 참되고 고유한 희생 제사가 봉헌된다,세례 없이도 믿음만으로 구원받을 수 있다는 명제
0.703,4,TRENT-S24-C09,서품·정결서원자가 유효하게 혼인할 수 있다면 파문 (성직자 독신제 근거),LG-14,"Lumen Gentium 14항: 교회의 구원 필요성과 ""알면서 거부하면 구원 불가""",하느님은 정결을 서원한 이들이 바르게 구하면 그 은사를 거절하지 않으신다는 신학적 전제가 캐논 안에 명시되어 있다,가시적 교회 소속만으로 자동 구원이 보장된다는 명제 (2단락이 명시적으로 부정)
0.703,4,TRENT-S24-MARRIAGE,혼인 성사의 불가해소성,CDF-DOMINUS-20_22,Dominus Iesus 20~22항: 비그리스도인의 구원과 교회의 필요성 (다원주의 배척),혼인의 불가해소성에 관한 교회의 가르침은 오류가 아니다,타 종교 의식이 그리스도교 성사와 동등한 사효적 효력을 지닌다는 명제
0.703,2,TRENT-S25-PURGATORY,연옥 교령: 연옥은 존재하며 산 자의 도고(특히 미사)로 도움받는다,DIGNITATIS-HUMANAE,종교 자유에 관한 선언,"이 교리의 근거는 성경과 교부 전통, 이전 공의회들의 가르침이다",국가에 의한 종교적 강제가 정당하다는 명제
0.703,3,LG-14,"Lumen Gentium 14항: 교회의 구원 필요성과 ""알면서 거부하면 구원 불가""",CCC-1987_2016,"칭의(의화)와 은총, 그리고 공로","그리스도는 유일한 중개자이자 구원의 유일한 길이며, 교회를 통해 우리에게 현존한다",칭의는 오직 믿음만으로 이루어지며 내적 쇄신이 아닌 단순히 하느님이 죄를 덮어주시는 것이다(이신칭의 부정).
